Number,Heating rate,CaO,SiO2,Al2O3,MgO,Na2O,F,Li2O,B2O3,Fe2O3,MnO,Cr2O3,TiO2,BaO,K2O,V2O5,FeO,P2O5,S,Ce2O3,La2O3,R,CaO/AL2O3,T (℃)
1,25,45.81,36.64,3.9,0,7.8,5.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,11.75,1123
2,25,45.53,36.42,3.9,0,7.8,5.85,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,11.67,1118
3,25,45.26,36.2,3.9,0,7.8,5.85,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,11.61,1094
4,25,45,35.99,3.9,0,7.8,5.85,1.46,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,11.54,1063
5,25,44.72,35.77,3.9,0,7.8,5.85,1.95,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,11.47,1025
6,25,44.45,35.56,3.9,0,7.8,5.85,2.44,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,11.4,1011
7,25,44.18,35.34,3.9,0,7.8,5.85,2.93,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,11.33,990
8,25,49.06,39.24,3.9,0,0,5.85,1.95,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,12.58,1268
9,25,48.52,38.8,3.9,0,0,5.85,2.93,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,12.44,1137
10,25,47.97,38.38,3.9,0,0,5.85,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,12.3,1095
11,25,47.44,37.94,3.9,0,0,5.85,4.88,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,12.16,1062
12,25,46.89,37.51,3.9,0,0,5.85,5.85,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,12.02,1016
13,25,46.35,37.07,3.9,0,0,5.85,6.83,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,11.88,962
14,25,45.81,36.64,3.9,0,0,5.85,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,11.75,930
15,10,10.62,21.24,11.57,13.79,0,0,0,0,0,0,3,39.78,0,0,0,0,0,0,0,0,0.5,0.92,1225
16,10,11.95,19.91,11.57,13.79,0,0,0,0,0,0,3,39.78,0,0,0,0,0,0,0,0,0.6,1.03,1241
17,10,13.12,18.74,11.57,13.79,0,0,0,0,0,0,3,39.78,0,0,0,0,0,0,0,0,0.7,1.13,1244
18,10,14.16,17.7,11.57,13.79,0,0,0,0,0,0,3,39.78,0,0,0,0,0,0,0,0,0.8,1.22,1271
19,25,33.15,39.12,7.82,2.93,7.82,5.24,0,0,0,0,0,0,3.91,0,0,0,0,0,0,0,0.85,4.24,1119
20,25,33.15,35.2,7.82,2.93,7.82,5.24,0,0,0,0,0,3.91,3.91,0,0,0,0,0,0,0,0.94,4.24,1108
21,25,33.15,31.29,7.82,2.93,7.82,5.24,0,0,0,0,0,7.82,3.91,0,0,0,0,0,0,0,1.06,4.24,1120
22,25,33.15,29.34,7.82,2.93,7.82,5.24,0,0,0,0,0,9.78,3.91,0,0,0,0,0,0,0,1.13,4.24,1147
